Windows PowerShell
Copyright (C) 2015 Microsoft Corporation. All rights reserved.

PS C:\xampp\htdocs\blog> php artisan serve
Laravel development server started: http://127.0.0.1:8000
[Thu Nov 14 12:30:43 2019] 127.0.0.1:53697 [200]: /favicon.ico
[Thu Nov 14 12:30:51 2019] 127.0.0.1:53699 [200]: /favicon.ico
[Thu Nov 14 12:30:59 2019] 127.0.0.1:53704 [200]: /favicon.ico
[Thu Nov 14 12:31:02 2019] 127.0.0.1:53708 [200]: /css/app.css
[Thu Nov 14 12:31:02 2019] 127.0.0.1:53710 [200]: /js/app.js
[Thu Nov 14 12:31:02 2019] 127.0.0.1:53711 [200]: /favicon.ico
[Thu Nov 14 12:31:07 2019] 127.0.0.1:53714 [200]: /css/app.css
[Thu Nov 14 12:31:07 2019] 127.0.0.1:53716 [200]: /js/app.js
[Thu Nov 14 12:31:07 2019] 127.0.0.1:53717 [200]: /favicon.ico
[Thu Nov 14 12:31:13 2019] 127.0.0.1:53720 [200]: /favicon.ico
[Thu Nov 14 12:31:24 2019] 127.0.0.1:53724 [200]: /favicon.ico
[Thu Nov 14 12:31:25 2019] 127.0.0.1:53727 [200]: /css/app.css
[Thu Nov 14 12:31:25 2019] 127.0.0.1:53729 [200]: /js/app.js
[Thu Nov 14 12:31:25 2019] 127.0.0.1:53730 [200]: /favicon.ico
[Thu Nov 14 12:31:38 2019] 127.0.0.1:53737 [200]: /css/app.css
[Thu Nov 14 12:31:38 2019] 127.0.0.1:53738 [200]: /js/app.js
[Thu Nov 14 12:31:38 2019] 127.0.0.1:53739 [200]: /favicon.ico
[Thu Nov 14 12:31:47 2019] 127.0.0.1:53742 [200]: /css/app.css
[Thu Nov 14 12:31:47 2019] 127.0.0.1:53745 [200]: /js/app.js
[Thu Nov 14 12:31:48 2019] 127.0.0.1:53746 [200]: /favicon.ico
[Thu Nov 14 12:31:52 2019] 127.0.0.1:53749 [200]: /css/app.css
[Thu Nov 14 12:31:52 2019] 127.0.0.1:53751 [200]: /js/app.js
[Thu Nov 14 12:31:53 2019] 127.0.0.1:53752 [200]: /favicon.ico
[Thu Nov 14 12:31:57 2019] 127.0.0.1:53759 [200]: /css/app.css
[Thu Nov 14 12:31:57 2019] 127.0.0.1:53760 [200]: /js/app.js
[Thu Nov 14 12:31:57 2019] 127.0.0.1:53761 [200]: /favicon.ico
[Thu Nov 14 12:32:03 2019] 127.0.0.1:53764 [200]: /favicon.ico
[Thu Nov 14 12:32:45 2019] 127.0.0.1:53775 [200]: /favicon.ico
[Thu Nov 14 12:34:23 2019] 127.0.0.1:53803 [200]: /favicon.ico
[Thu Nov 14 12:34:50 2019] 127.0.0.1:53814 [200]: /css/app.css
[Thu Nov 14 12:34:50 2019] 127.0.0.1:53818 [200]: /js/app.js
[Thu Nov 14 12:34:50 2019] 127.0.0.1:53819 [200]: /favicon.ico
[Thu Nov 14 12:35:14 2019] 127.0.0.1:53831 [200]: /css/blog-post.css
[Thu Nov 14 12:35:14 2019] 127.0.0.1:53832 [200]: /css/app.css
[Thu Nov 14 12:35:14 2019] 127.0.0.1:53833 [200]: /images/r0aEmGVNnz6rFgpxjrxgL4jNrYr6vCuHYZr4TuDE.jpeg
[Thu Nov 14 12:35:14 2019] 127.0.0.1:53834 [200]: /js/app.js
[Thu Nov 14 12:35:14 2019] 127.0.0.1:53835 [200]: /favicon.ico
[Thu Nov 14 12:35:27 2019] 127.0.0.1:53838 [200]: /css/app.css
[Thu Nov 14 12:35:27 2019] 127.0.0.1:53841 [200]: /js/app.js
[Thu Nov 14 12:35:27 2019] 127.0.0.1:53842 [200]: /favicon.ico
[Thu Nov 14 12:35:28 2019] 127.0.0.1:53844 [200]: /css/app.css
