Windows PowerShell
Copyright (C) 2015 Microsoft Corporation. All rights reserved.

PS C:\xampp\htdocs\blog> php artisan serve
Laravel development server started: http://127.0.0.1:8000
[Wed Nov 13 10:35:05 2019] 127.0.0.1:51690 [200]: /favicon.ico
[Wed Nov 13 10:37:39 2019] 127.0.0.1:51729 [200]: /css/blog-post.css
[Wed Nov 13 10:37:39 2019] 127.0.0.1:51733 [200]: /js/app.js
[Wed Nov 13 10:37:39 2019] 127.0.0.1:51732 [200]: /css/app.css
[Wed Nov 13 10:37:39 2019] 127.0.0.1:51734 [200]: /favicon.ico
[Wed Nov 13 10:37:44 2019] 127.0.0.1:51737 [200]: /js/app.js
[Wed Nov 13 10:37:44 2019] 127.0.0.1:51739 [200]: /css/app.css
[Wed Nov 13 10:37:44 2019] 127.0.0.1:51740 [200]: /favicon.ico
[Wed Nov 13 10:40:35 2019] 127.0.0.1:51784 [200]: /js/app.js
[Wed Nov 13 10:40:35 2019] 127.0.0.1:51787 [200]: /css/app.css
[Wed Nov 13 10:40:35 2019] 127.0.0.1:51788 [200]: /favicon.ico
[Wed Nov 13 10:44:49 2019] 127.0.0.1:51849 [200]: /js/app.js
[Wed Nov 13 10:44:49 2019] 127.0.0.1:51852 [200]: /css/app.css
[Wed Nov 13 10:44:49 2019] 127.0.0.1:51853 [200]: /favicon.ico
[Wed Nov 13 10:47:50 2019] 127.0.0.1:51945 [200]: /js/app.js
[Wed Nov 13 10:47:50 2019] 127.0.0.1:51948 [200]: /css/app.css
[Wed Nov 13 10:47:50 2019] 127.0.0.1:51949 [200]: /favicon.ico
[Wed Nov 13 10:49:48 2019] 127.0.0.1:51988 [200]: /js/app.js
[Wed Nov 13 10:49:48 2019] 127.0.0.1:51991 [200]: /css/app.css
[Wed Nov 13 10:49:49 2019] 127.0.0.1:51992 [200]: /favicon.ico
[Wed Nov 13 10:58:13 2019] 127.0.0.1:52122 [200]: /js/app.js
[Wed Nov 13 10:58:13 2019] 127.0.0.1:52125 [200]: /css/app.css
[Wed Nov 13 10:58:14 2019] 127.0.0.1:52126 [200]: /favicon.ico
[Wed Nov 13 10:58:16 2019] 127.0.0.1:52128 [200]: /js/app.js
[Wed Nov 13 10:58:16 2019] 127.0.0.1:52131 [200]: /css/app.css
[Wed Nov 13 10:58:16 2019] 127.0.0.1:52132 [200]: /favicon.ico
[Wed Nov 13 10:58:31 2019] 127.0.0.1:52137 [200]: /css/app.css
[Wed Nov 13 10:58:31 2019] 127.0.0.1:52141 [200]: /css/blog-home.css
[Wed Nov 13 10:58:31 2019] 127.0.0.1:52146 [200]: /js/app.js
[Wed Nov 13 10:58:49 2019] 127.0.0.1:52247 [200]: /css/blog-post.css
[Wed Nov 13 10:58:49 2019] 127.0.0.1:52248 [200]: /css/app.css
[Wed Nov 13 10:58:49 2019] 127.0.0.1:52249 [200]: /js/app.js
[Wed Nov 13 10:58:50 2019] 127.0.0.1:52250 [200]: /favicon.ico
[Wed Nov 13 10:59:36 2019] 127.0.0.1:52266 [200]: /js/app.js
[Wed Nov 13 10:59:36 2019] 127.0.0.1:52267 [200]: /css/app.css
[Wed Nov 13 10:59:37 2019] 127.0.0.1:52268 [200]: /favicon.ico
[Wed Nov 13 11:00:33 2019] 127.0.0.1:52287 [200]: /css/blog-post.css
[Wed Nov 13 11:00:33 2019] 127.0.0.1:52288 [200]: /css/app.css
[Wed Nov 13 11:00:33 2019] 127.0.0.1:52289 [200]: /js/app.js
[Wed Nov 13 11:00:33 2019] 127.0.0.1:52290 [200]: /favicon.ico
[Wed Nov 13 11:00:44 2019] 127.0.0.1:52292 [200]: /css/app.css
[Wed Nov 13 11:00:44 2019] 127.0.0.1:52298 [200]: /css/blog-home.css
[Wed Nov 13 11:00:44 2019] 127.0.0.1:52303 [200]: /js/app.js
[Wed Nov 13 11:01:04 2019] 127.0.0.1:52402 [200]: /favicon.ico
[Wed Nov 13 11:02:17 2019] 127.0.0.1:52420 [200]: /css/app.css
[Wed Nov 13 11:02:17 2019] 127.0.0.1:52424 [200]: /css/blog-home.css
[Wed Nov 13 11:02:17 2019] 127.0.0.1:52430 [200]: /js/app.js
[Wed Nov 13 11:02:38 2019] 127.0.0.1:52531 [200]: /favicon.ico
[Wed Nov 13 11:04:12 2019] 127.0.0.1:52551 [200]: /js/app.js
[Wed Nov 13 11:04:12 2019] 127.0.0.1:52554 [200]: /css/app.css
[Wed Nov 13 11:04:12 2019] 127.0.0.1:52555 [200]: /favicon.ico
